key,value
6202,9.52
6203,9.52
6204,13.53
6205,13.53
6206,6.63
6213,4.32
6214,4.78
6216,10.77
6217,9.44
6219,9.44
6229,11.05
6233,5.65
6235,10.15
6236,12.6
6237,4.4
6238,4.4
6251,8.68
6252,7.66
6257,7.66
6260,7.66
6306,9.77
6319,8.19
6325,7.37
6365,7.37
6400,9.82
6503,5.27
6504,6.33
6513,6.33
6702,8.98
6703,13.06
6704,9.77
6801,8.65
6811,9.88
6823,9.88
6824,18.32
6826,10.18
6828,10.18
6829,10.18
6834,6.8
6836,8.35
6838,8.35
6843,22.82
6845,16.74
6869,16.74
6872,22.11
6873,22.11
6874,39.61
6876,39.61
6882,7.34
6884,7.97
7016,9.3
7024,10.12
7038,9.47
7046,11.95
7047,13.58
7050,13.83
7090,10.28
7097,10.28
7098,13.04
7099,17.75
7133,9.03
7134,9.03
7135,9.03
7151,10.53
7152,15.54
7153,11.48
7201,11.48
7204,11.48
7205,11.48
7219,15.57
7223,15.57
7228,15.57
7229,15.57
7230,17.75
7231,15.92
7250,15.92
7309,22.3
7313,11.02
7317,20.12
7327,41.02
7333,6.88
7335,7.42
7337,9.74
7350,26.31
7360,8.38
7370,8.92
7373,8.92
7380,10.53
7382,8.87
7383,8.87
7390,8.21
7394,7.45
7395,8.05
7398,10.64
7402,2.16
7403,9.98
7405,5.19
7408,5.19
7414,5.19
7418,5.19
7420,14.54
7421,3.2
7422,4.32
7423,4.32
7424,4.32
7425,5.22
7431,3.93
7500,3.93
7502,5.19
7515,3.61
7520,6.39
7538,10.37
7539,4.73
7540,8.51
7570,8.51
7580,6.63
7590,7.26
7600,10.26
7601,10.26
7602,10.26
7605,5.95
7607,5.95
7610,2.9
7698,2.9
7699,2.9
7704,2.9
7705,9.98
7710,7.89
7711,7.89
7717,7.89
7719,7.89
7720,6.39
7721,6.39
7722,6.39
7723,5.32
7724,5.32
7725,5.32
7726,5.32
7729,5.32
7731,5.32
7855,7.75
8001,5.95
8002,5.02
8003,5.02
8006,5.62
8008,3.99
8010,4.56
8013,2.57
8014,2.57
8015,3.17
8017,4.26
8018,6.17
8021,5.38
8024,5.38
8031,5.65
8032,4.86
8033,4.62
8034,4.62
8037,4.07
8039,4.23
8044,6.31
8045,3.09
8046,5.35
8047,3.2
8048,3.2
8058,5.79
8061,5.79
8067,5.79
8072,3.04
8102,4.37
8103,5.41
8105,5.41
8106,8.08
8107,6.25
8111,4.62
8112,4.62
8113,4.62
8116,5.35
8203,10.8
8204,8.95
8209,7.12
8215,6.99
8227,7.97
8231,7.97
8232,8.81
8233,6.2
8234,6.2
8235,8.49
8236,9.82
8263,11.56
8264,8.43
8265,10.12
8273,10.12
8274,10.12
8277,10.12
8279,10.01
8288,10.67
8291,6.82
8292,6.8
8293,13.88
8295,13.88
8304,9.3
8350,12.9
8353,12.9
8370,12.9
8380,5.3
8381,4.94
8385,4.94
8387,4.94
8391,4.94
8392,5.22
8393,4.26
8399,4.26
8411,4.26
8500,9.98
8601,2.44
8602,4.07
8603,2.11
8606,4.86
8607,4.86
8709,11.78
8719,5.11
8720,3.53
8721,2.6
8723,2.25
8725,5.87
8726,7.15
8728,7.15
8734,2.6
8737,2.52
8738,2.84
8742,2.44
8743,2.44
8744,2.44
8745,6.58
8748,2.87
8752,2.87
8753,2.87
8754,2.87
8755,2.44
8799,2.6
8800,4.1
8803,2.08
8805,2.25
8809,2.25
8810,2.19
8811,2.19
8812,2.19
8814,2.25
8815,2.35
8818,2.35
8820,2.19
8824,5.41
8825,5.41
8826,5
8828,5
8829,5
8831,3.74
8832,2.46
8833,3.53
8834,3.53
8835,5.46
8837,5.46
8838,5.46
8840,5.46
8841,5.46
8842,5.3
8853,5.3
8855,2.19
8856,2.82
8858,2.82
8861,2.82
8862,2.82
8864,3.8
8868,2.71
8869,3.58
8871,2.11
8872,2.11
8877,2.11
8901,2.27
9012,3.34
9013,3.34
9014,6.44
9015,5.95
9016,5.27
9019,6.11
9022,6.11
9032,6.11
9033,4.92
9040,6.44
9044,3.61
9047,3.61
9052,4.51
9053,4.51
9058,4.29
9060,3.8
9061,3.55
9062,3.8
9063,3.23
9076,3.23
9077,7.01
9078,7.01
9079,7.01
9080,7.01
9082,3.72
9083,3.74
9084,3.91
9088,3.91
9089,3.5
9093,3.85
9094,3.85
9101,6.61
9102,7.04
9110,7.04
9150,7.04
9154,4.59
9156,5.3
9170,13.94
9177,13.94
9178,11.46
9179,25.76
9180,9.25
9182,5
9183,5
9186,25.68
9187,25.68
9220,10.28
9328,10.28
9349,10.28
9351,10.28
9366,10.28
9402,10.15
9403,13.64
9405,13.64
9410,5.79
9411,5.79
9412,5.79
9415,5.79
9416,5.79
9417,5.79
9420,5.79
9421,5.79
9422,5.79
9424,5.79
9427,5.79
9448,5.79
9449,5.79
9450,5.79
