Code,Description
0005, Christmas Tree Farm & Drivers Texas
0005, Farm National
0005, Farm—Christmas Tree Farms & Drivers Oregon
0005, Farm—Holly Growing Harvesting Packing and Storing & Drivers Oregon
0005, Farm—Nursery Employees & Drivers Florida
0005, Farm—Nursery Employees & Drivers Missouri
0005, Farm—Nursery Employees & Drivers Montana
0005, Farm—Nursery Stock & Drivers Oregon
0005, Farm—Sod & Drivers Missouri
0005, Farm—Tree or Shrub & Drivers Alaska
0005, Farm—Tree or Shrub & Drivers Idaho
0005, Farm—Tree or Shrub & Drivers Montana
0005, Farm—Tree or Shrub—Tree Farms—Drivers Oregon
0005, Forestry Personnel—Planting and Supervision of Timber Forest & Drivers Texas
0005, Grass Nursery & Drivers Texas
0005, Greenhouse—Nursery Employees & Drivers Oregon
0005, Pre-Commercial Thinning of Trees & Drivers Maine
0005, Timber Personnel for Tree Farming Program & Drivers Texas
0005, Tree Farms & Drivers Texas
0006, Artificial Insemination of Cattle—All Other Employees Arizona
0006, Artificial Insemination of Cattle—All Other Employees & Drivers Montana
0006, Farm or Ranch—All Employees & Drivers Montana
0008, Farm National
0008, Farm Nebraska
0008, Farm—Dry Onion—Vegetable Farm & Drivers Oregon
0008, Farm—Field Crops—Harvesting by Hand Oregon
0008, Farm—Gardening—Market or Truck & Drivers Oregon
0008, Farm—Garlic & Drivers Oregon
0008, Farm—Hoeing by Hand & Drivers Oregon
0008, Farm—Potato & Drivers Florida
0008, Farm—Vegetable Farm & Drivers Oregon
0008, Farm—Vineyard—All Operations & Drivers Oregon
0008, Greenhouse—Vegetable & Drivers Oregon
0008, Harvesting by Contract Using Hand Labor Exclusively & Drivers Texas
0008, Rogueing Crew for Field Crops & Drivers Texas
0016, Coffee Grower & Drivers Hawaii
0016, Farm—Fruit Growing Orchard & Drivers Oregon
0016, Farm—Orchard & Drivers Oregon
0016, Farm—Orchard or Grove & Drivers National
0016, Farm—Packing—Orchard & Drivers Oregon
0016, Fruit Picking by Contractors & Drivers Florida
0016, Macadamia Nut Grower & Drivers Hawaii
0016, Pecan Harvesting & Drivers Texas
0016, Turpentine Farm & Drivers. National
0019, Farm—Fish Hatchery or Pond & Drivers Hawaii
0019, Fish Hatchery or Pond & Drivers Hawaii
0030, Sugarcane Plantation & Drivers Florida
0030, Sugarcane Plantation & Drivers Louisiana
0034, Farm National
0034, Farm—Apiary & Drivers Oregon
0034, Farm—Egg or Poultry Producer & Drivers Oregon
0034, Farm—Poultry or Egg Producer & Drivers Oregon
0034, Hatchery—Poultry—Store Operations Only Texas
0035, Aquatic Plants—Growing & Harvesting & Drivers Texas
0035, Farm—Florist & Drivers National
0035, Farm—Florist & Drivers Florida
0035, Farm—Vegetable Hydroponics & Drivers Oregon
0035, Greenhouse—& Drivers Oregon
0035, Hydroponics & Drivers Texas
0035, Mushroom Growing and Harvesting & Drivers Texas
0035, Nursery—Wholesale—With Hothouse or Greenhouse Growing Operations & Drivers Texas
0035, Reforestation—Cone Picking or Gathering & Drivers Oregon
0035, Wholesale Nursery With Hothouse or Greenhouse Growing Operations & Drivers Texas
0035, Worm Farms & Drivers Texas
0036, Farm—Dairy & Drivers National
0036, Farm—Dairy & Drivers Oregon
0037, Anhydrous Ammonia Application—Agricultural—By Contract & Drivers Texas
0037, Crop Spraying or Dusting—By Contract—Not Aerial & Drivers Texas
0037, Farm National
0037, Farm Machinery Operation—By Contractor & Drivers Texas
0037, Farm—Field Crops & Drivers Oregon
0037, Farm—Hops & Drivers Oregon
0037, Farm—Potato—Field Crops & Drivers Maine
0037, Farm—Vegetable—Pumpkin and Melon Harvesting & Drivers Oregon
0037, Fertilizer Application—By Contract With Farm Machinery & Drivers Texas
0037, Harvesting by Contract Using Farm Machinery & Drivers Texas
0037, Hay Baling & Drivers Texas
0037, Rice Farm—All Employees & Drivers Louisiana
0042, Hydro-Mulching & Drivers Texas
0042, Landscape Gardening & Drivers Florida
0042, Landscape Gardening & Drivers Oregon
0042, Landscape Gardening & Drivers Texas
0042, Landscape Gardening & Drivers. National
0042, Lawn Sprinkler Systems Installation—Underground & Drivers Connecticut
0042, Reforestation—Grass Planting & Drivers Oregon
0042, Street or Road Construction—Beautification Work & Drivers National
0050, Brush or Weed Control by Contractor—Chemical & Drivers National
0050, Farm Machinery Operation—By Contractor & Drivers National
0050, Grove Caretaking by Contractor & Drivers Florida
0050, Hay Baling & Drivers National
0050, Reforestation—Spraying & Drivers Oregon
0052, Orchard and Grove Owners and Operators—All Operations & Drivers Florida
0078, Plantation—Sugar or Pineapple & Drivers Hawaii
0079, Farm—Berry Farm & Drivers Oregon
0079, Farm—Berry or Vineyard & Drivers National
0079, Vineyard & Drivers Florida
0083, Artificial Insemination of Cattle—All Other Employees & Drivers National
0083, Breeding Farm or Stable & Drivers Texas
0083, Club—Riding & Drivers Texas
0083, Farm National
0083, Farm—Cattle or Livestock Raising NOC & Drivers Oregon
0083, Horse Racetrack Stable Employees & Drivers Texas
0083, Horse Show—Stable Employees & Drivers Texas
0083, Jockeys & Drivers Texas
0083, Livery or Boarding Stable—Not Sales Stable & Drivers Texas
0083, Racetrack Operation—Horse—Stable Employees and Jockeys & Drivers Texas
0083, Riding Academy or Club & Drivers Texas
0083, Stable or Breeding Farm & Drivers Texas
0106, Stump Removal Operations—By Specialist Contractor & Drivers National
0106, Transmission Line Clearing and/or Maintenance—Tree Trimming Along Existing Lines & Drivers Texas
0106, Tree Pruning and Removal—All Operations & Drivers—Natural Catastrophe National
0106, Tree Pruning Spraying Repairing Trimming or Fumigating & Drivers Texas
0106, Tree Pruning Spraying Repairing—All Operations & Drivers National
0106, Tree Pruning Trimming or Spraying—All Operations & Drivers for Existing Right-of-Way—Electric Power Telephone Burglar or Fire Alarm Lines National
0113, Alligator Farm & Drivers Texas
0113, Apiaries & Drivers Texas
0113, Bee Keeping—Honey Production & Drivers Texas
0113, Broiler and/or Egg Producers & Drivers Texas
0113, Catfish Farms & Drivers Texas
0113, Chicken Catchers—By Contract & Drivers Texas
0113, Chinchilla Farms & Drivers Texas
0113, Dog Breeding and Raising for Racing & Drivers Texas
0113, Dog Raising and Training & Drivers Texas
0113, Emu and/or Ostrich Raising & Drivers Texas
0113, Farm—Fish Hatchery & Drivers National
0113, Farm—Fish Raising & Drivers Oregon
0113, Farm—Oyster Raising & Drivers Oregon
0113, Greyhound Raising and Training for Racing & Drivers Texas
0113, Guard Dog Service & Drivers Texas
0113, Minnow or Goldfish Hatchery & Drivers Texas
0113, Ostrich and/or Emu Raising & Drivers Texas
0113, Poultry and Egg Producing & Drivers Texas
0117, Farm—Berry Picking by Hand Oregon
0124, Farm—Tree or Shrub—Tree Planting—Reforestation & Drivers Oregon
0124, Reforestation & Drivers Alaska
0124, Reforestation & Drivers Idaho
0124, Reforestation & Drivers Montana
0124, Reforestation—Brush Cutting & Drivers Oregon
0124, Reforestation—Bud-Capping & Drivers Oregon
0124, Reforestation—Fire Trail Construction & Drivers Oregon
0124, Reforestation—Fuels Reduction and/or Brush Cutting Slashing & Driving Alaska
0124, Reforestation—Scarification & Drivers Oregon
0124, Reforestation—Site Preparation & Drivers Oregon
0124, Reforestation—Slash Piling and Burning & Drivers Oregon
0124, Reforestation—Tree Planting & Drivers Oregon
0153, Lawn or Shrub Spraying & Drivers Florida
0169, Farm—Goat or Sheep Raising & Drivers Oregon
0169, Farm—Sheep or Goat Raising & Drivers Oregon
0169, Farm—Sheep Goat and Llama Raising & Drivers Nevada
0169, Farm—Sheep Goat and Llama Raising & Drivers New Mexico
0169, Sheep or Goat Raising & Drivers Utah
0170, Farm—Animal Raising & Drivers Oregon
0170, Farm—Animal Raising & Drivers. National
0173, Farm—Berry & Drivers Florida
0251, Irrigation Works Operation & Drivers. National
0400, Cotton Compressing & Drivers National
0401, Cotton Gin Operation & Local Managers Drivers National
0401, Cotton Gin—All Employees Texas
0908, Domestic Workers—Residences—Part-Time National
0908, Domestic Workers—Residences—Part-Time Connecticut
0908, Domestic Workers—Residences—Part-Time New Hampshire
0913, Domestic Workers—Residences—Full-Time National
0913, Domestic Workers—Residences—Full-Time Connecticut
0913, Domestic Workers—Residences—Full-Time New Hampshire
0913, Domestic Workers—Residences—Per Capita Basis Texas
0913, Residences—Private—Domestic Workers—Per Capita Basis Texas
0914, Members of the Idaho Legislature Idaho
0917, Pet Sitting Services & Drivers National
0917, Residential Cleaning Services by Contractor—Inside National
0918, Domestic Service Workers—Inside—Physical Assistance—Consumer Directed Programs New Mexico
0918, Domestic Service Workers—Inside—Physical Assistance—Consumer-Directed Programs Connecticut
0918, Domestic Service Workers—Inside—Physical Assistance—Consumer-Directed Programs District Of Columbia
0918, Domestic Service Workers—Inside—Physical Assistance—Consumer-Directed Programs Illinois
0918, Domestic Service Workers—Inside—Physical Assistance—Consumer-Directed Programs Rhode Island
0923, Domestic Workers—Residences—Payroll Basis Texas
0923, Residences—Private—Domestic Workers—Payroll Basis Texas
1005, Coal Mining—Surface & Drivers National
1016, Coal Mining—NOC. Kansas
1016, Coal Mine—NOC West Virginia
1016, Coal Mining NOC Arizona
1016, Coal Mining NOC Kentucky
1016, Coal Mining NOC & Drivers Alabama
1016, Coal Mining NOC & Drivers Colorado
1016, Coal Mining NOC & Drivers Nevada
1016, Coal Mining—NOC Alaska
1016, Coal Mining—NOC Georgia
1016, Coal Mining—NOC Illinois
1016, Coal Mining—NOC Indiana
1016, Coal Mining—NOC Iowa
1016, Coal Mining—NOC Maryland
1016, Coal Mining—NOC Mississippi
1016, Coal Mining—NOC Missouri
1016, Coal Mining—NOC New Mexico
1016, Coal Mining—NOC Oklahoma
1016, Coal Mining—NOC Oregon
1016, Coal Mining—NOC South Dakota
1016, Coal Mining—NOC Tennessee
1016, Coal Mining—NOC & Drivers Montana
1016, Coal Mining—NOC. Arkansas
1016, Coal—Mining—NOC Utah
1164, Mining NOC—Not Coal—Underground & Drivers National
1165, Coal Mining & Drivers Texas
1165, Lignite Mining & Drivers Texas
1165, Mining & Drivers Texas
1165, Mining NOC—Not Coal—Surface & Drivers National
1165, Mining—Diamond Core Drilling & Drivers Texas
1165, Silica Sand Production & Drivers Texas
1165, Uranium Mining & Drivers Texas
1169, Kaolin Mining—Surface & Drivers Georgia
1169, Kaolin Mining—Surface & Drivers South Carolina
1218, Fuller’s Earth Mining & Drivers Florida
1218, Phosphate Mining & Drivers Florida
1219, Potash Mining & Drivers New Mexico
1320, Gas or Oil—Lease Operator—Natural Gas—All Operations & Drivers National
1320, Oil or Gas—Lease Operator—All Operations & Drivers National
1320, Oil or Gas—Lease Operator—All Operations & Drivers Florida
1321, Compressor Station Operation & Drivers Texas
1321, Gas Natural Gas or Oil Production—Operation of Leases & Drivers Texas
1321, Oil or Gas Production—Operation of Leases & Drivers Texas
1321, Oil Production by Contract—Pumping and Gauging & Drivers Texas
1321, Salt Water Disposal Well Operator & Drivers Texas
1321, Uranium Extraction—Solution Mining Process & Drivers Texas
1322, Oil or Gas—Well—Cleaning or Swabbing of Wells—By Specialist Contractor—No Drilling & Drivers National
1429, Magnesium Metal Mfg.—All Operations & Drivers Tennessee
1430, Lead Mfg. & Drivers. National
1430, Smelting Sintering or Refining—Lead & Drivers National
1438, Blast Furnace Operation & Driver. National
1438, Blast Furnace Operation & Drivers Texas
1438, Calcium Carbide Mfg. & Drivers National
1438, Coke Mfg. & Drivers Texas
1438, Gold Reclaiming & Drivers Texas
1438, Magnesium Metal Mfg.—All Operations & Drivers. National
1438, Magnesium Metal Mfg.—Ferro-Silicon Process—All Operations & Drivers Texas
1438, Precious Metal Refining & Drivers Texas
1438, Silver Reclamation From Photographic Film & Drivers Texas
1438, Smelting Sintering or Refining—Metals—Not Iron or Lead—NOC & Drivers Texas
1438, Smelting Sintering or Refining—Metals—Not Iron or Lead NOC & Drivers National
1438, Smelting Sintering or Refining—Metals—Not Iron or Lead NOC & Drivers Tennessee
1438, Smelting—Electric Process & Drivers. National
1452, Graphite Mfg.—Not Artificial & Drivers. National
1452, Ore Milling Colorado
1452, Ore Milling & Drivers National
1463, Asphalt Works & Drivers Texas
1463, Asphalt Works Operated by Paving Contractors—Permanent Location & Drivers National
1463, Asphalt Works—Operated by Road Paving Contractors—Permanent Location & Drivers Texas
1463, Coal Billet or Briquet Mfg. & Drivers National
1472, Alcohol Mfg.—Wood & Drivers National
1472, Alcohol Mfg.—Wood & Drivers Texas
1472, Cedar Oil Extraction & Drivers Texas
1472, Charcoal Mfg. & Drivers. National
1472, Creosote Mfg. & Drivers. National
1472, Distillation—Wood & Drivers. National
1472, Solvent Reclaiming & Drivers Texas
1472, Turpentine or Resin Mfg. & Drivers Texas
1473, Turpentine or Resin Mfg.—Steam or Nondestructive Process & Drivers Alabama
1473, Turpentine or Resin Mfg.—Steam or Nondestructive Process & Drivers Florida
1473, Turpentine or Resin Mfg.—Steam or Nondestructive Process & Drivers Georgia
1473, Turpentine or Resin Mfg.—Steam or Nondestructive Process & Drivers Louisiana
1473, Turpentine or Resin Mfg.—Steam or Nondestructive Process & Drivers Mississippi
1474, Distillation—Wood—Destructive Process & Drivers Alabama
1474, Distillation—Wood—Destructive Process & Drivers Georgia
1474, Distillation—Wood—Destructive Process & Drivers Louisiana
1604, Quarry—Dimension Stone & Drivers Georgia
1604, Quarry—Dimension Stone & Drivers Indiana
1604, Quarry—Dimension Stone & Drivers Tennessee
1604, Quarry—Dimension Stone & Drivers Vermont
1604, Slate Splitting or Roofing Slate Mfg. & Drivers Vermont
1605, Blasting Rock & Drivers Idaho
1605, Blasting Rock & Drivers Oklahoma
1605, Excavation—Rock & Drivers Idaho
1605, Excavation—Rock & Drivers Oklahoma
1605, Rock Excavation & Drivers Idaho
1605, Rock Excavation & Drivers Oklahoma
1624, Quarry NOC & Drivers National
1624, Roofing—Slate Mfg. or Slate Splitting & Drivers. National
1624, Slag Digging and Crushing & Drivers National
1624, Slate Splitting or Roofing Slate Mfg. & Drivers National
1642, Lime Mfg. National
1654, Quarry—Cement Rock—Surface & Drivers National
1655, Quarry—Limestone—Surface & Drivers National
1699, Rock Wool Mfg. National
1701, Abrasive Wheel Mfg. & Drivers Texas
1701, Catalyst Cleaning by Heat & Drivers Texas
1701, Cement Additive Mfg. & Drivers Texas
1701, Cement Mfg. National
1701, Cement Mfg. & Drivers Texas
1701, Clay Processing Drying and Pelletizing & Drivers Texas
1701, Clay Products—For Oil Industry—Drying Grinding Pulverizing and Packing & Drivers Texas
1701, Concrete Mix Mfg.—Dry—Includes Bagging & Drivers Texas
1701, Flint or Spar Grinding & Drivers Texas
1701, Lime Mfg. & Drivers Texas
1701, Manganese Ore—Processing & Drivers Texas
1701, Mica Goods Mfg. & Drivers Texas
1701, Perlite Mfg. & Drivers Texas
1701, Plaster Mill & Drivers Texas
1701, Plaster Mill. National
1701, Silica Grinding & Drivers Texas
1701, Spar or Flint Grinding & Drivers Texas
1701, Vermiculite Mfg. & Drivers Texas
1710, Stone Crushing & Drivers. National
1741, Flint or Spar Grinding & Drivers. National
1741, Silica Grinding & Drivers. National
1741, Spar or Flint Grinding & Drivers. National
1745, Hone or Oil Stone Mfg. Arkansas
1745, Hone or Oil Stone Mfg. Vermont
1745, Oil or Hone Stone Mfg. Arkansas
1745, Oil or Hone Stone Mfg. Vermont
1745, Soapstone or Soapstone Products Mfg. Arkansas
1745, Soapstone or Soapstone Products Mfg. Vermont
1747, Clay Milling & Drivers. National
1747, Emery Works & Drivers. National
1747, Talc Mill & Drivers. National
1748, Abrasive Wheel Mfg. & Drivers National
1751, Kaolin Milling & Drivers Georgia
1751, Kaolin Milling & Drivers South Carolina
1803, Fiberglass Insulation Mfg. & Drivers Texas
1803, Fiberglass Mfg.—Mats & Drivers Texas
1803, Fiberglass Wool Mfg. & Drivers Texas
1803, Graphite Mfg.—Not Artificial & Drivers Texas
1803, Headstone Engraving & Drivers Texas
1803, Hone or Oil Stone Mfg. & Drivers. National
1803, Marble Vanity Sink and Tabletop Mfg.—Natural & Drivers Texas
1803, Monument Engraving & Drivers Texas
1803, Oil or Hone Stone Mfg. & Drivers. National
1803, Ore Milling & Drivers Texas
1803, Pumice Stone Processing—No Mining & Drivers Texas
1803, Rock Wool Mfg. & Drivers Texas
1803, Slate Milling & Drivers National
1803, Soapstone or Soapstone Products Mfg. & Drivers. National
1803, Stone Cutting or Polishing NOC & Drivers Texas
1803, Stonecutting or Polishing NOC & Drivers Vermont
1803, Stonecutting or Polishing NOC & Drivers. National
1811, Stonecutting or Polishing—Granite & Drivers Vermont
1852, Asbestos Goods Mfg. National
1853, Mica Goods Mfg. & Mica Preparing. National
1860, Abrasive Paper or Cloth Preparation National
1924, Cable Mfg. or Wire Drawing—Not Iron or Steel National
1924, Cable or Wire Rope Mfg.—Iron or Steel Texas
1924, Wire Drawing or Cable Mfg. National
1924, Wire Drawing—Not Iron or Steel Texas
1924, Wire Rope or Cable Mfg.—Iron or Steel Texas
1925, Die Casting Mfg. National
1925, Die Casting Mfg. Illinois
2002, Pasta or Noodle Mfg. National
2003, Bakery & Drivers Route Supervisors Oregon
2003, Bakery & Drivers Route Supervisors Texas
2003, Bakery—Salespersons & Drivers National
2003, Bakery—Wholesale & Drivers Montana
2003, Cookie Mfg.—Wholesale & Drivers Texas
2003, Cracker Mfg. & Drivers Texas
2003, Ice Cream Cone Mfg. & Drivers Texas
2003, Macaroni Mfg. & Drivers Texas
2003, Noodle Mfg. & Drivers Texas
2003, Pasta Mfg. & Drivers Texas
2003, Pasta or Noodle Mfg. Florida
2003, Spaghetti Mfg. & Drivers Texas
2004, Bakery—Retail—All Operations Montana
2014, Alfalfa Dehydrating and Processing Texas
2014, Corn Shelling Texas
2014, Feed Mfg. Texas
2014, Grain Milling Texas
2014, Grain or Feed Milling National
2014, Milling Grain Texas
2014, Oyster Shell Grinding and Sacking Texas
2014, Pecan Shell Grinding and Sacking Texas
2016, Cereal or Bar Mfg. National
2021, Sugar Manufacturing or Refining From Sugar Cane or Sugar Beets National
2032, Yarn or Thread Mfg.—Silk National
2039, Ice-Cream Mfg. & Drivers National
2040, Ice Cream Mfg. Texas
2041, Beet Sugar Mfg. Texas
2041, Candy Chocolate and Confection Mfg. National
2041, Chewing Gum Mfg. Texas
2041, Chocolate or Cocoa Mfg. Texas
2041, Cocoa or Chocolate Mfg. Texas
2041, Confection Mfg. Texas
2041, Frozen Confectionery Bar Mfg. Texas
2041, Honey Processing Texas
2041, Molasses or Syrup Refining Blending or Mfg. Texas
2041, Sugar Mfg. or Refining Texas
2041, Syrup or Molasses Refining Blending or Mfg. Texas
2065, Condensed Milk Mfg. National
2065, Malted Milk Mfg. National
2065, Milk Products Mfg. NOC National
2068, Butter or Cheese Mfg. Texas
2068, Cheese or Butter Mfg. Texas
2068, Creamery Texas
2068, Milk Plant or Depot—Receiving or Distributing Texas
2068, Milk Products Mfg. NOC Texas
2070, Butter or Cheese Mfg. & Route Supervisors Drivers National
2070, Cheese or Butter Mfg. & Route Supervisors Drivers National
2070, Creamery or Dairy & Route Supervisors Drivers Montana
2070, Creamery or Dairy & Route Supervisors Drivers. National
2070, Dairy or Creamery & Route Supervisors Drivers. National
2070, Milk Bottle Exchange—All Employees & Drivers National
2070, Milk Depot or Milk Dealer & Route Supervisors Drivers National
2070, Trucking—Raw Milk Hauling—All Employees & Drivers Maine
2081, Butchering Illinois
2081, Butchering Missouri
2081, Butchering Montana
2081, Butchering South Dakota
2081, Butchering Texas
2081, Butchering. National
2081, Packing House—All Operations Texas
2081, Slaughtering Illinois
2081, Slaughtering Missouri
2081, Slaughtering Montana
2081, Slaughtering South Dakota
2081, Slaughtering Texas
2081, Slaughtering. National
2081, Stockyard—Butchering National
2089, Packing House—All Operations. National
2095, Beef Jerky Mfg. Texas
2095, Dehydrating of Meats for Canning or Packing Texas
2095, Dog Food Mfg. Texas
2095, Fish National
2095, Fish Curing Maine
2095, Meat Products Mfg. NOC Texas
2095, Meat Products Mfg. NOC. National
2095, Sausage or Sausage Casing Mfg. National
2095, Sausage or Sausage Casing Mfg. Texas
2101, Fish Curing Alabama
2101, Fish Curing Alaska
2104, Seafood Processors Alaska
2104, Seafood Processors Louisiana
2105, Farm—Packing—Fruit Packing Oregon
2105, Fruit Packing National
2105, Fruit Packing Texas
2105, Tomato or Fruit Packing Texas
2110, Pickle Mfg. National
2111, Cannery NOC Texas
2111, Cannery NOC. National
2111, Canning of Carbonated Beverages—No Bottling Operations Texas
2111, Dehydrating—Fruits and Vegetables Texas
2111, Fruit Evaporating or Preserving Texas
2112, Fruit Evaporating or Preserving National
2113, Cannery—Sardines Maine
2114, Clam Digging. National
2114, Crab Processing & Drivers Texas
2114, Oyster Processing Maine
2114, Oyster Processing. National
2114, Oystermen & Drivers Texas
2114, Shrimp Dealer—All Operations & Drivers Texas
2114, Shrimp Processing & Drivers Texas
2118, Cannery—Crabmeat—All Operations Louisiana
2119, Citrus Products Processing & Drivers Florida
2121, Beer or Ale Dealer—Brewery & Drivers Oregon
2121, Brewery & Drivers Texas
2121, Brewery & Drivers. National
2121, Malt House & Drivers National
2122, Seafood Processors—Floating Alaska
2130, Alcohol Mfg.—Grain—All Operations National
2130, Distillery—Spirituous Liquor. National
2130, Spirituous Liquor Distillery National
2131, Spirituous Liquor Bottling National
2143, Fruit Juice Mfg. & Drivers National
2143, Winery & Drivers National
2157, Beverage Mfg. NOC & Route Supervisors Drivers Texas
2157, Beverage Mfg.—Carbonated—All Operations Route Supervisors & Drivers National
2157, Bottling and Route Supervisors Drivers Texas
2157, Bottling—All Operations & Route Supervisors Drivers National
2157, Carbonated Beverage Mfg.—All Operations & Route Supervisors Drivers. National
2157, Fruit Juice Mfg. & Drivers Texas
2157, Vinegar Mfg. & Drivers Texas
2157, Water—Distilled—Bottling and Distribution & Drivers Texas
2157, Wine Bottling & Drivers Texas
2157, Winery & Drivers Texas
2172, Cigar Mfg. Texas
2172, Cigarette Mfg. Texas
2172, Tobacco Mfg. NOC Texas
2172, Tobacco Products Mfg. NOC National
2174, Tobacco—Rehandling or Warehousing National
2211, Cotton Batting Wadding or Waste Mfg. National
2211, Cotton Cleaning and/or Blending—No Gin Operations Texas
2211, Cotton Mote Processing Texas
2211, Shoddy Mfg. National
2211, Wool Combing or Scouring National
2211, Wool Separating National
2220, Cap Mfg.—Fabric Texas
2220, Carpet or Rug Mfg. NOC Texas
2220, Carpet or Rug Mfg.—Jute or Hemp National
2220, Cloth or Textiles Dyeing Texas
2220, Cord or Twine Mfg.—Cotton National
2220, Cordage Rope or Twine Mfg. NOC National
2220, Cotton Spinning and Weaving National
2220, Flax Spinning and Weaving National
2220, Glove or Mitten Mfg.—Knit Texas
2220, Hat Mfg. Texas
2220, Hemp or Jute Spinning and Weaving National
2220, Jute or Hemp Spinning and Weaving National
2220, Knit Goods Mfg. NOC Texas
2220, Lariat or Lasso Mfg. Texas
2220, Linen Cloth Mfg. National
2220, Mitten or Glove Mfg.—Knit Texas
2220, Rope Cordage or Twine Mfg. NOC National
2220, Rug or Carpet Mfg. NOC Texas
2220, Rug or Carpet Mfg.—Jute or Hemp National
2220, Silk Throwing and Weaving Texas
2220, Textile—Bleaching Dyeing Mercerizing Finishing Texas
2220, Thread or Yarn Mfg.—Cotton National
2220, Twine or Cord Mfg.—Cotton National
2220, Twine Cordage or Rope Mfg. NOC National
2220, Yarn or Thread Mfg.—Cotton National
2260, Wool Combing or Scouring Rhode Island
2260, Wool Combing or Scouring South Carolina
2260, Wool Combing or Scouring Texas
2286, Wool Spinning and Weaving National
2286, Yarn Mfg.—Wool. National
2288, Felting Mfg. National
2300, Plush or Velvet Mfg. National
2300, Velvet or Plush Mfg. National
2302, Silk Thread or Yarn Mfg. National
2302, Silk Throwing and Weaving National
2302, Thread or Yarn Mfg.—Silk National
2305, Rayon Mfg. National
2305, Textile Fiber Mfg.—Synthetic National
2361, Hosiery Mfg. National
2362, Glove or Mitten Mfg.—Knit. National
2362, Knit Goods Mfg. NOC. National
2362, Mitten or Glove Mfg.—Knit. National
2380, Braid or Fringe Mfg. National
2380, Camouflage Net Mfg. Texas
2380, Embroidery Mfg. Texas
2380, Fringe or Braid Mfg. National
2380, Net Mfg. National
2380, Webbing Mfg. National
2380, Webbing Mfg. Texas
2386, Lace Mfg. National
2388, Embroidery Mfg. National
2402, Carpet or Rug Mfg. NOC National
2402, Rug or Carpet Mfg. NOC National
2413, Textile Bleaching Dyeing Mercerizing Finishing National
2416, Thread or Yarn Dyeing or Finishing National
2416, Yarn or Thread Dyeing or Finishing National
2417, Cloth Printing. National
2501, Awning or Tent Mfg.—Shop National
2501, Bag or Sack Mfg.—Cloth. National
2501, Bag Renovating National
2501, Cloth Canvas and Related Products Mfg. Noc National
2501, Clothing Mfg. Texas
2501, Collar Mfg. National
2501, Corset Mfg. Texas
2501, Cushion Pillow or Quilt Mfg. National
2501, Cushion Pillow or Quilt Mfg. Texas
2501, Doll Clothing or Cloth Dolls or Cloth Parts Mfg. Texas
2501, Doll Clothing Cloth Dolls or Cloth Parts Mfg. National
2501, Draperies Mfg. Texas
2501, Draperies or Curtains Mfg. From Cloth Paper or Plastic—Cutting and Sewing National
2501, Feather Pillow Mfg. National
2501, Feather Pillow Mfg. Texas
2501, Fur Clothing Mfg. National
2501, Furnishing Goods Mfg. NOC. National
2501, Hat Mfg. National
2501, Hat Mfg.—Other Than Straw Oklahoma
2501, Lingerie Mfg. National
2501, Millinery Mfg. National
2501, Pillow Quilt or Cushion Mfg. National
2501, Pillow Quilt or Cushion Mfg. Texas
2501, Quilt Cushion or Pillow Mfg. National
2501, Quilt Cushion or Pillow Mfg. Texas
2501, Sailmaking National
2501, Shirt Mfg. National
2501, Sign Manufacturing—Silk Screen Printing—Cloth National
2501, Sign Manufacturing—Silk Screen Printing—Cloth Hawaii
2501, Stuffed Animal Mfg. Texas
2501, Suspender Mfg. National
2501, Textile—Mending National
2501, Toy Mfg.—Cloth Stuffed Animals or Toys National
2501, Umbrella Mfg. National
2501, Window —Shade Mfg. National
2503, Dressmaking or Tailoring—Custom Exclusively. National
2503, Tailoring or Dressmaking—Custom Exclusively Texas
2503, Tailoring or Dressmaking—Custom Exclusively. National
2532, Millinery Mfg. Texas
2534, Feather or Flower Mfg.—Artificial National
2534, Flower or Feather Mfg.—Artificial National
2534, Hair Goods Mfg. National
2534, Hair Goods Mfg. Texas
2534, Plastic Flowers Mfg. Texas
2534, Wig Mfg.—Human or Synthetic Hair Texas
2560, Parachute Mfg. and Servicing Texas
2560, Umbrella Mfg. Connecticut
2560, Umbrella Mfg. Texas
2570, Box Spring or Mattress Mfg. National
2570, Mattress or Box Spring Mfg. National
2576, Awning or Tent Mfg.—Fabric—Shop Texas
2576, Canvas Goods Mfg. NOC—Shop Texas
2576, Sail Making Texas
2576, Tent or Awning Mfg.—Shop Texas
2578, Bag or Sack Mfg. Texas
2578, Bag Renovating Texas
2578, Sack or Bag Mfg. Texas
2581, Carpet Rug or Upholstery Cleaning—Shop or Outside & Drivers Texas
2581, Diaper Service & Drivers Texas
2581, Laundry—All Kinds & Drivers Texas
2581, Rug Carpet or Upholstery Cleaning—Shop or Outside & Drivers Texas
2581, Upholstery Carpet or Rug Cleaning & Drivers Texas
2583, Cleaning or Dyeing & Drivers Texas
2583, Dry Cleaner & Drivers Texas
2583, Dyeing or Cleaning & Drivers Texas
2583, Laundry—Bachelor—Shirt and Khaki & Drivers Texas
2585, Carpet Rug or Upholstery Cleaning—Shop or Outside & Drivers National
2585, Diaper Service & Route Supervisor Drivers. National
2585, Laundry NOC & Route Supervisors Drivers National
2585, Rug Carpet or Upholstery Cleaning—Shop or Outside & Drivers National
2585, Upholstery Carpet or Rug Cleaning & Drivers. National
2586, Cleaning or Dyeing & Route Supervisors Drivers. National
